prime_word,target_word,TargetAccuracy,RTRecogniseTarget
VIRUS,BACTERIA,0,749
PUSH,MASK,1,3233
VOICE,MARROW,1,2927
VOLCANO,OFTEN,1,2330
VOYAGE,GRATE,1,1917
WAGE,ABDUCT,1,3387
WARDROBE,SLEEVE,1,2837
WART,CONCENTRATE,1,3619
WATERFALL,RAPID,1,1733
WEAR,BUCKLE,1,1071
WEEK,WELCOME,1,2263
EVERYDAY,CEREMONY,1,2634
WHISPER,CRACKLE,1,3447
WINGS,HAWK,1,2080
WOODS,HONEY,1,2932
WRITER,YEARLY,1,2392
OUTRAGEOUS,ABSURD,1,1244
REVIEW,ADJECTIVE,1,2815
LUST,ADORE,1,1869
ENGAGE,AGAIN,1,1498
FORESIGHT,ALGEBRA,1,2427
MAGNET,ALTER,1,2358
FUSS,AMBULANCE,1,1462
RELEASE,ANCHOR,1,1249
PRECISE,ANSWER,1,1828
MANSION,APARTMENT,1,1120
NASTY,APPEARANCE,1,2173
INSTANT,APPENDAGE,1,1601
TEAPOT,APPLIANCE,1,1755
CREATIVE,ARCHITECTURE,1,2160
COOKING,ARMY,1,1998
SMOKING,ASHTRAY,1,1462
DETERGENT,ASLEEP,1,1759
SMALL,ATTENDANCE,1,1678
PERFORMANCE,AUDIENCE,1,1214
PRESENCE,AWFUL,1,1627
TEST,FLUNK,1,1797
DOCUMENT,BASSINET,1,4298
DEODORANT,BEACH,1,2073
MATTRESS,BEDROOM,1,1809
SIBLING,BELONG,1,2185
SEAFOOD,CONFERENCE,1,2394
ARENA,BOG,1,3364
SLIMY,BROOM,1,1895
CERAMICS,BULLET,1,1781
BUGGY,BUNCH,1,2065
COMPLICATED,BURDEN,1,1384
CAREER,BUTLER,1,2365
HIGHWAY,CHECKING,1,1593
RAW,CHILI,0,2453
CONE,CIRCLE,1,2848
BUILDER,TOOL,1,1398
TRANQUIL,COMFORT,1,1685
BIT,COMPASS,1,1249
KID,COMPOUND,1,2314
PROFESSION,CONTENT,1,3417
SHIP,COVERED,1,2757
BETTER,CROCHET,1,2619
RECTANGLE,CUBE,1,1847
AGENT,CUSS,1,3283
FORCE,CYLINDER,1,2323
SLOW,DART,1,3444
REST,DASH,1,2082
BETRAY,DECEPTION,1,2184
DISSOLVE,DECOMPOSE,1,1699
CLOWN,DEPRESSED,1,1557
TREASON,DETECTIVE,1,2224
POPULAR,DIGESTION,1,2443
REFRAIN,DIRECTION,1,1557
LIPS,DISCUSSION,1,3282
CREATE,DISPLAY,1,2306
SNORKEL,DOWNSTREAM,1,1779
LOTTERY,DUE,1,2253
BRA,DUNK,1,2939
HUGE,DWARVES,1,1813
CELL,EARNESTNESS,1,6772
BRACELET,EARRING,1,1617
ODD,EQUAL,1,1587
SCALPEL,ERECT,1,2379
SCHEME,EXHAUSTED,1,1322
TRUTHFUL,EXPRESS,1,1665
FIGURE,FACTOR,1,2260
CHORUS,FAITH,1,1646
FRIENDLY,FANCY,1,1691
TULIP,FARMER,1,1588
HEAVY,FAT,1,1806
FELT,FAULT,1,1956
FAMINE,FEED,1,2326
ZUCCHINI,FIN,1,2589
LID,FIREMAN,1,2128
HOSTILITY,FIST,1,2990
CHAMPAGNE,FLASK,1,1690
BOOKBAG,FOLD,1,2107
STRIVE,FOOLISH,1,1674
MESSAGE,FORM,1,2266
FACE,FRIENDLINESS,1,3232
SPEAKER,FRIGID,1,2300
THIEF,FRISK,1,2592
SPACE,GALAXY,1,1952
LOAF,GAMBLE,1,2952
COMPASSION,GHOUL,1,1774
SHE,CHILDREN,1,1159
PLAZA,GOODS,1,2205
WRITE,GRAFT,1,2909
FEMALE,GROOM,1,2220
ORDINARY,GUIDE,1,1790
HORMONES,GUY,1,1836
SAILOR,HARBOR,1,1424
KITTEN,HAT,1,2494
TIMID,HEIGHTS,1,2338
CHASE,HER,1,2277
TRUCK,HIGH,1,1906
PENNY,HOBO,1,2662
DROP,HOLD,1,1762
DIAMOND,HOOK,1,2629
ARIGHT,HORROR,1,3234
RIBS,HUNGRY,1,1041
EMPLOYER,INCOME,1,1414
ALLERGY,INJECTION,1,2133
BRITANNICA,INSTRUCT,1,2158
CRUDE,INSTRUMENT,1,2337
FACTS,IVY,1,3362
COMMERCIAL,JOKER,1,2371
MEDIA,JOURNAL,1,1465
DISPERSE,JOURNEY,1,1556
RODENT,JOY,1,1561
BANANA,JUICE,1,1588
PREJUDICE,LADDER,1,1799
WASH,LAUNDRY,1,1380
LOTS,LESS,1,1819
ASSOCIATE,LESSON,1,1874
GOVERNOR,LIBEL,1,2133
CREW,LUCK,1,2342
FRAGRANCE,LUNCH,1,1863
RELAX,MACHINE,1,2104
BANK,MAILBOX,1,1838
QUARTER,MALL,1,2913
SILVERWARE,MAYBE,1,1825
CAFETERIA,MEAL,1,1557
SINCE,MEASURE,1,1641
VULNERABLE,MEEK,1,1819
HALL,MILE,1,1772
DELICIOUS,MINTS,1,1906
RASPBERRY,MIX,1,2352
OWE,MORTGAGE,1,1789
PEAS,MUSHROOM,1,1068
KEYBOARD,MUSIC,1,1781
TELLER,NINE,1,2137
DOZE,NOISY,1,1375
HITCH,NUT,1,1794
BLOSSOM,QUIT,1,2185
BREAD,OMELET,1,2104
MASH,ONION,1,1048
NITROGEN,OXYGEN,1,1806
CANVASS,PAD,1,2470
SLEIGH,PADDY,1,3395
WOMAN,PAL,1,1830
BUN,PANCAKES,1,1597
CLINIC,PANE,1,3317
CARNIVAL,PARADE,1,1079
NOTEBOOK,PARAGRAPH,1,1467
BOND,PEBBLE,1,1836
PANTYHOSE,PEPSI,1,2351
BLUEJAY,PIGEON,1,1769
MEADOW,PLANT,1,2207
CLOTHES,PLEDGE,1,1566
TONIC,POCKET,1,546
BUREAU,POLYESTER,1,3118
DRIVER,POP,1,1851
CLUMSY,PORK,1,2182
BLOOM,POT,1,1618
FILE,POUND,1,4171
INTEGRITY,PRESIDENT,1,1795
ORCHARD,PRODUCE,1,2287
RIDICULOUS,PRODUCTION,1,2362
LAWYER,PROSECUTE,1,1693
PIECES,PROTEIN,1,1834
STANDARDS,PROVISION,1,2452
TIGER,PUFF,1,1819
COPIER,QUARREL,1,2844
SAMPLE,RECIPE,1,2260
OUTDOORS,RECREATION,1,1644
AFTERNOON,REPRESS,1,3334
CAB,ROAD,1,2276
SPATULA,ROOT,1,2297
BUTTER,RYE,1,1908
ANTELOPE,SALES,1,2775
DISGUST,SCARED,1,2802
DIGIT,SCHEDULE,1,2204
HORRIBLE,SCRAMBLE,1,1602
ARMOR,SCRATCH,1,2852
OWNER,SELLER,1,2372
OVERVIEW,SENTRY,1,2596
SUEDE,SERPENT,1,1627
THINGS,SEVERAL,1,2164
GENDER,SEX,1,2168
IMPACT,SHATTER,1,1861
BUCK,SHEEP,1,1613
SACK,SHEETS,1,3097
LAP,SHOE,1,1616
TRIGGER,SHOOTING,1,1274
STEEL,SICK,1,2611
CORK,SIDEWALK,1,2456
MASK,PUSH,1,1659
NUCLEAR,SLAY,1,2949
NEW,SLEEPY,1,2455
SURF,SNEAKER,1,1871
BAY,SOAK,1,2423
KIDS,SON,1,1922
SNACK,SPIN,1,1844
BOXING,SPLINTER,1,2135
FINAL,SPONGE,1,2190
SWEET,SPREE,1,2165
BEGIN,START,1,1811
ARGUE,STINGY,1,2481
HEADBAND,STOCKING,1,1289
OCEAN,STREAM,1,1671
SEA,SURVEY,1,2455
HINGE,TERROR,1,2685
TYLENOL,THERAPY,1,2076
WARMTH,THERMOMETER,1,1814
NEWS,THINK,1,1336
UNION,THRIFT,0,1850
CRY,TICKLE,1,1795
STEPS,TIDE,1,1588
SUPER,TINY,1,2821
ISSUE,TOPIC,1,1786
VERDICT,TOWER,1,3167
REMORSE,TRAGEDY,1,1418
PLANE,TRANSPORTATION,1,1075
HEDGE,TREES,1,1762
PASS,TRICYCLE,1,2089
CHIPMUNK,TUG,1,2822
ELK,UNICORN,1,1880
ELIMINATION,UNUSED,1,3829
APATHETIC,UPSET,1,1587
INTERSTATE,VEER,1,2355
SHIRT,VEST,1,1615
ALUMINUM,VICTIM,1,2073
MAFIA,VIOLENCE,1,1175
BACTERIA,VIRUS,1,1126
REPUBLICAN,CONVENT,1,3978
MARROW,VOICE,1,1752
OFTEN,VOLCANO,1,1168
GRATE,VOYAGE,1,1872
ABDUCT,WAGE,1,2141
SLEEVE,WARDROBE,1,2128
CONCENTRATE,WART,1,1714
RAPID,WATERFALL,1,1998
BUCKLE,WEAR,1,2854
WELCOME,WEEK,1,2851
CEREMONY,EVERYDAY,1,2372
CRACKLE,WHISPER,1,1751
HAWK,WINGS,1,1131
HONEY,WOODS,1,2835
YEARLY,WRITER,1,1960
ABSURD,OUTRAGEOUS,1,1766
ADJECTIVE,REVIEW,1,2156
ADORE,LUST,1,1074
AGAIN,ENGAGE,1,2211
ALGEBRA,FORESIGHT,1,1131
ALTER,MAGNET,1,2216
AMBULANCE,FUSS,1,2250
ANCHOR,RELEASE,1,1435
ANSWER,PRECISE,1,1686
APARTMENT,MANSION,1,1604
APPEARANCE,NASTY,1,2770
APPENDAGE,INSTANT,1,1744
APPLIANCE,TEAPOT,1,1262
ARCHITECTUR,CREATIVE,1,1196
ARMY,COOKING,1,1812
ASHTRAY,SMOKING,1,1048
ASLEEP,DETERGENT,1,1231
ATTENDANCE,SMALL,1,1595
AUDIENCE,PERFORMANCE,1,2132
AWFUL,PRESENCE,1,4680
FLUNK,TEST,1,1047
BASSINET,DOCUMENT,1,1262
BEACH,DEODORANT,1,1148
BEDROOM,MATTRESS,1,1722
BELONG,SIBLING,1,2721
CONFERENCE,SEAFOOD,1,2260
BOG,ARENA,1,1970
BROOM,SLIMY,1,1086
BULLET,CERAMICS,1,3352
BUNCH,BUGGY,1,3370
BURDEN,COMPLICATED,1,1067
BUTLER,CAREER,1,1972
CHECKING,HIGHWAY,1,2079
CHILI,RAW,1,2159
CIRCLE,CONE,1,3204
TOOL,BUILDER,1,1103
COMFORT,TRANQUIL,1,1123
COMPASS,BIT,1,3120
COMPOUND,KID,1,2648
CONTENT,PROFESSION,1,3117
COVERED,SHIP,1,3139
CROCHET,BETTER,1,3332
CUBE,RECTANGLE,1,3145
CUSS,AGENT,1,1676
CYLINDER,FORCE,1,1832
DART,SLOW,1,1673
DASH,REST,1,1070
DECEPTION,BETRAY,1,1384
DECOMPOSE,DISSOLVE,1,1689
DEPRESSED,CLOWN,1,2492
DETECTIVE,TREASON,1,1885
DIGESTION,POPULAR,1,3727
DIRECTION,REFRAIN,1,2467
DISCUSSION,LIPS,1,2977
DISPLAY,CREATE,1,1172
DOWNSTREAM,SNORKEL,1,2113
DUE,LOTTERY,1,1216
DUNK,BRA,1,1750
DWARVES,HUGE,1,2833
EARNESTNESS,CELL,1,1975
EARRING,BRACELET,1,1297
EQUAL,ODD,1,2624
ERECT,SCALPEL,1,547
EXHAUSTED,SCHEME,1,2230
EXPRESS,TRUTHFUL,1,1754
FACTOR,FIGURE,1,3378
FAITH,CHORUS,1,1224
FANCY,FRIENDLY,1,2805
FARMER,TULIP,1,2215
FAT,HEAVY,1,1296
FAULT,FELT,1,2641
FEED,FAMINE,1,4309
FIN,ZUCCHINI,1,2634
FIREMAN,LID,1,2628
FIST,HOSTILITY,1,2644
FLASK,CHAMPAGNE,1,1063
FOLD,BOOKBAG,1,2249
FOOLISH,STRIVE,1,1455
FORM,MESSAGE,1,2186
FRIENDLINES,FACE,1,2187
FRIGID,SPEAKER,1,2350
FRISK,THIEF,1,2695
GALAXY,SPACE,1,1674
GAMBLE,LOAF,1,1136
GHOUL,COMPASSION,1,2343
CONVENT,REPUBLICAN,1,3714
GOODS,PLAZA,1,1796
GRAFT,WRITE,1,2970
GROOM,FEMALE,1,2252
GUIDE,ORDINARY,1,543
GUY,HORMONES,1,1105
HARBOR,SAILOR,1,1081
HAT,KITTEN,1,1867
HEIGHTS,TIMID,1,3361
HER,CHASE,1,1704
HIGH,TRUCK,1,1737
HOBO,PENNY,1,1496
HOLD,DROP,1,539
HOOK,DIAMOND,1,1281
HORROR,ARIGHT,1,5177
HUNGRY,RIBS,1,1491
INCOME,EMPLOYER,1,1142
INJECTION,ALLERGY,1,1570
INSTRUCT,BRITANNICA,1,5282
INSTRUMENT,CRUDE,1,1878
IVY,FACTS,1,2196
JOKER,COMMERCIAL,1,2825
JOURNAL,MEDIA,1,2148
JOURNEY,DISPERSE,1,1591
JOY,RODENT,1,1042
JUICE,BANANA,1,1696
LADDER,PREJUDICE,1,2126
LAUNDRY,WASH,1,1198
LESS,LOTS,1,3975
LESSON,ASSOCIATE,1,3195
LIBEL,GOVERNOR,1,1357
LUCK,CREW,1,1708
LUNCH,FRAGRANCE,1,2249
MACHINE,RELAX,1,1125
MAILBOX,BANK,1,1267
MALL,QUARTER,1,2083
MAYBE,SILVERWARE,1,3650
MEAL,CAFETERIA,1,1176
MEASURE,SINCE,1,3342
MEEK,VULNERABLE,1,1125
MILE,HALL,1,1872
MINTS,DELICIOUS,1,1262
MIX,RASPBERRY,1,2252
MORTGAGE,OWE,1,1772
MUSHROOM,PEAS,1,1324
MUSIC,KEYBOARD,1,1619
NINE,TELLER,1,3110
NOISY,DOZE,1,2216
NUT,HITCH,1,3827
CHILDREN,SHE,1,1580
OMELET,BREAD,1,1316
ONION,MASH,1,1405
OXYGEN,NITROGEN,1,2864
PAD,CANVASS,1,2141
PADDY,SLEIGH,1,2193
PAL,WOMAN,1,1057
PANCAKES,BUN,1,1064
PANE,CLINIC,1,2716
PARADE,CARNIVAL,1,1201
PARAGRAPH,NOTEBOOK,1,528
PEBBLE,BOND,1,1558
PEPSI,PANTYHOSE,1,1058
PIGEON,BLUEJAY,1,1780
PLANT,MEADOW,1,1411
PLEDGE,CLOTHES,1,1880
POCKET,TONIC,1,1648
POLYESTER,BUREAU,1,2476
POP,DRIVER,1,1673
PORK,CLUMSY,1,1608
POT,BLOOM,1,1190
POUND,FILE,1,1388
PRESIDENT,INTEGRITY,1,1076
PRODUCE,ORCHARD,1,3468
PRODUCTION,RIDICULOUS,1,2213
PROSECUTE,LAWYER,1,1068
PROTEIN,PIECES,1,2730
PROVISION,STANDARDS,1,4951
PUFF,TIGER,1,1934
QUARREL,COPIER,1,2640
RECIPE,SAMPLE,1,1330
RECREATION,OUTDOORS,1,1636
REPRESS,AFTERNOON,1,4267
ROAD,CAB,1,1312
ROOT,SPATULA,1,1662
RYE,BUTTER,1,1691
SALES,ANTELOPE,1,2140
SCARED,DISGUST,1,1582
SCHEDULE,DIGIT,1,2282
SCRAMBLE,HORRIBLE,1,3444
SCRATCH,ARMOR,1,2318
SELLER,OWNER,1,2318
SENTRY,OVERVIEW,1,2802
SERPENT,SUEDE,1,2074
SEVERAL,THINGS,1,2106
SEX,GENDER,1,1391
SHATTER,IMPACT,1,1067
SHEEP,BUCK,1,2748
SHEETS,SACK,1,2281
SHOE,LAP,1,1706
SHOOTING,TRIGGER,1,1070
SICK,STEEL,1,1404
SIDEWALK,CORK,1,1595
QUIT,BLOSSOM,1,2074
SLAY,NUCLEAR,1,2650
SLEEPY,NEW,1,1688
SNEAKER,SURF,1,1357
SOAK,BAY,1,1490
SON,KIDS,1,1133
SPIN,SNACK,1,1642
SPLINTER,BOXING,1,2303
SPONGE,FINAL,1,1200
SPREE,SWEET,1,3139
START,BEGIN,1,1752
STINGY,ARGUE,1,2131
STOCKING,HEADBAND,1,2238
STREAM,OCEAN,1,1274
SURVEY,SEA,1,1908
TERROR,HINGE,1,2657
THERAPY,TYLENOL,1,2272
THERMOMETER,WARMTH,1,3108
THINK,NEWS,1,2078
THRIFT,UNION,1,1747
TICKLE,CRY,1,1165
TIDE,STEPS,1,1135
TINY,SUPER,1,1191
TOPIC,ISSUE,1,2924
TOWER,VERDICT,1,1996
TRAGEDY,REMORSE,1,1235
TRANSPORTAT,PLANE,1,1358
TREES,HEDGE,1,1109
TRICYCLE,PASS,1,1235
TUG,CHIPMUNK,1,3314
UNICORN,ELK,1,2300
UNUSED,ELIMINATION,1,3732
UPSET,APATHETIC,1,1650
VEER,INTERSTATE,1,2149
VEST,SHIRT,1,1216
VICTIM,ALUMINUM,1,3246
VIOLENCE,MAFIA,1,1800
VIRUS,BACTERIA,1,537
PUSH,MASK,1,2649
VOICE,MARROW,1,2124
VOLCANO,OFTEN,1,2796
VOYAGE,GRATE,1,1754
WAGE,ABDUCT,1,2176
WARDROBE,SLEEVE,1,1840
WART,CONCENTRATE,1,2340
WATERFALL,RAPID,1,1494
WEAR,BUCKLE,1,2301
WEEK,WELCOME,1,3116
EVERYDAY,CEREMONY,1,1177
WHISPER,CRACKLE,1,2801
WINGS,HAWK,1,1350
WOODS,HONEY,1,1625
WRITER,YEARLY,1,2755
OUTRAGEOUS,ABSURD,1,1162
REVIEW,ADJECTIVE,1,2444
LUST,ADORE,0,1864
ENGAGE,AGAIN,1,1556
FORESIGHT,ALGEBRA,1,2230
MAGNET,ALTER,1,2234
FUSS,AMBULANCE,1,2073
RELEASE,ANCHOR,1,1626
PRECISE,ANSWER,1,1779
MANSION,APARTMENT,1,1497
NASTY,APPEARANCE,1,2781
INSTANT,APPENDAGE,1,2388
TEAPOT,APPLIANCE,1,1573
CREATIVE,ARCHITECTURE,1,2929
COOKING,ARMY,1,1742
SMOKING,ASHTRAY,1,1820
DETERGENT,ASLEEP,1,2079
SMALL,ATTENDANCE,1,1562
PERFORMANCE,AUDIENCE,1,1679
PRESENCE,AWFUL,1,1588
TEST,FLUNK,1,1800
DOCUMENT,BASSINET,0,2896
DEODORANT,BEACH,1,1940
MATTRESS,BEDROOM,1,1611
SIBLING,BELONG,1,2976
SEAFOOD,CONFERENCE,1,2939
ARENA,BOG,1,2383
SLIMY,BROOM,1,2271
CERAMICS,BULLET,1,1774
BUGGY,BUNCH,1,1946
COMPLICATED,BURDEN,1,1693
CAREER,BUTLER,1,1055
HIGHWAY,CHECKING,1,1058
RAW,CHILI,0,1831
CONE,CIRCLE,1,1054
BUILDER,TOOL,1,2437
TRANQUIL,COMFORT,1,1632
BIT,COMPASS,1,2076
KID,COMPOUND,1,1841
PROFESSION,CONTENT,1,1923
SHIP,COVERED,1,1468
BETTER,CROCHET,1,2685
RECTANGLE,CUBE,1,2195
AGENT,CUSS,1,3421
FORCE,CYLINDER,1,1846
SLOW,DART,1,1954
REST,DASH,1,2065
BETRAY,DECEPTION,1,1880
DISSOLVE,DECOMPOSE,1,1665
CLOWN,DEPRESSED,1,2394
TREASON,DETECTIVE,1,2345
POPULAR,DIGESTION,1,1821
REFRAIN,DIRECTION,1,2441
LIPS,DISCUSSION,1,2096
CREATE,DISPLAY,1,1698
SNORKEL,DOWNSTREAM,1,1884
LOTTERY,DUE,1,2458
BRA,DUNK,1,2970
HUGE,DWARVES,1,1920
CELL,EARNESTNESS,1,5832
BRACELET,EARRING,1,2986
ODD,EQUAL,1,1580
SCALPEL,ERECT,1,2672
SCHEME,EXHAUSTED,1,2265
TRUTHFUL,EXPRESS,1,1484
FIGURE,FACTOR,1,1794
CHORUS,FAITH,1,1470
FRIENDLY,FANCY,1,2129
TULIP,FARMER,1,1952
HEAVY,FAT,1,1875
FELT,FAULT,1,1938
FAMINE,FEED,1,1960
ZUCCHINI,FIN,1,2111
LID,FIREMAN,1,2460
HOSTILITY,FIST,1,1887
CHAMPAGNE,FLASK,1,1557
BOOKBAG,FOLD,1,2671
STRIVE,FOOLISH,1,1626
MESSAGE,FORM,1,1803
FACE,FRIENDLINESS,1,2613
SPEAKER,FRIGID,1,2594
THIEF,FRISK,1,2481
SPACE,GALAXY,1,1908
LOAF,GAMBLE,1,1705
COMPASSION,GHOUL,1,3427
SHE,CHILDREN,1,1428
PLAZA,GOODS,1,3344
WRITE,GRAFT,1,2110
FEMALE,GROOM,1,1905
ORDINARY,GUIDE,1,1789
HORMONES,GUY,1,1472
SAILOR,HARBOR,1,1797
KITTEN,HAT,1,1487
TIMID,HEIGHTS,1,2917
CHASE,HER,1,1647
TRUCK,HIGH,1,2264
PENNY,HOBO,1,2496
DROP,HOLD,1,1557
DIAMOND,HOOK,1,2452
ARIGHT,HORROR,1,1764
RIBS,HUNGRY,1,1779
EMPLOYER,INCOME,1,2352
ALLERGY,INJECTION,1,1945
BRITANNICA,INSTRUCT,1,2319
CRUDE,INSTRUMENT,1,1824
FACTS,IVY,1,1908
COMMERCIAL,JOKER,1,1914
MEDIA,JOURNAL,1,1491
DISPERSE,JOURNEY,1,1977
RODENT,JOY,1,1911
BANANA,JUICE,1,1595
PREJUDICE,LADDER,1,2336
WASH,LAUNDRY,1,1459
LOTS,LESS,1,2311
ASSOCIATE,LESSON,1,2254
GOVERNOR,LIBEL,1,1480
CREW,LUCK,1,2253
FRAGRANCE,LUNCH,1,1818
RELAX,MACHINE,1,1468
BANK,MAILBOX,1,1056
QUARTER,MALL,0,1672
SILVERWARE,MAYBE,1,1472
CAFETERIA,MEAL,1,1465
SINCE,MEASURE,1,1558
VULNERABLE,MEEK,1,1723
HALL,MILE,1,2618
DELICIOUS,MINTS,1,2386
RASPBERRY,MIX,1,2431
OWE,MORTGAGE,1,1560
PEAS,MUSHROOM,1,1280
KEYBOARD,MUSIC,1,1570
TELLER,NINE,1,1065
DOZE,NOISY,1,2394
HITCH,NUT,1,1041
BLOSSOM,QUIT,0,1042
BREAD,OMELET,1,1063
MASH,ONION,1,1345
NITROGEN,OXYGEN,1,1591
CANVASS,PAD,1,1475
SLEIGH,PADDY,1,1871
WOMAN,PAL,1,2285
BUN,PANCAKES,1,1045
CLINIC,PANE,1,2409
CARNIVAL,PARADE,1,1616
NOTEBOOK,PARAGRAPH,1,1881
BOND,PEBBLE,1,1668
PANTYHOSE,PEPSI,1,1938
BLUEJAY,PIGEON,1,1468
MEADOW,PLANT,1,2242
CLOTHES,PLEDGE,1,1484
TONIC,POCKET,1,2074
BUREAU,POLYESTER,1,3254
DRIVER,POP,1,2488
CLUMSY,PORK,1,2398
BLOOM,POT,1,1686
FILE,POUND,1,2861
INTEGRITY,PRESIDENT,1,1557
ORCHARD,PRODUCE,1,1904
RIDICULOUS,PRODUCTION,1,1810
LAWYER,PROSECUTE,1,2786
PIECES,PROTEIN,1,1906
STANDARDS,PROVISION,1,1874
TIGER,PUFF,1,1400
COPIER,QUARREL,1,2956
SAMPLE,RECIPE,1,1139
OUTDOORS,RECREATION,1,1931
AFTERNOON,REPRESS,1,2278
CAB,ROAD,1,1998
SPATULA,ROOT,1,2493
BUTTER,RYE,1,1568
ANTELOPE,SALES,1,2093
DISGUST,SCARED,1,2410
DIGIT,SCHEDULE,1,1716
HORRIBLE,SCRAMBLE,1,1762
ARMOR,SCRATCH,1,1937
OWNER,SELLER,1,2363
OVERVIEW,SENTRY,1,1561
SUEDE,SERPENT,1,1955
THINGS,SEVERAL,1,2229
GENDER,SEX,1,1571
IMPACT,SHATTER,1,2371
BUCK,SHEEP,1,1079
SACK,SHEETS,1,1658
LAP,SHOE,1,1823
TRIGGER,SHOOTING,1,1927
STEEL,SICK,0,1063
CORK,SIDEWALK,1,1827
MASK,PUSH,1,1715
NUCLEAR,SLAY,1,2339
NEW,SLEEPY,1,2146
SURF,SNEAKER,1,1871
BAY,SOAK,1,1808
KIDS,SON,1,1232
SNACK,SPIN,1,1063
BOXING,SPLINTER,1,1557
FINAL,SPONGE,1,2086
SWEET,SPREE,1,2982
BEGIN,START,1,1886
ARGUE,STINGY,1,2101
HEADBAND,STOCKING,1,2434
OCEAN,STREAM,1,1904
SEA,SURVEY,1,1774
HINGE,TERROR,1,1654
TYLENOL,THERAPY,1,2106
WARMTH,THERMOMETER,1,1710
NEWS,THINK,1,1575
UNION,THRIFT,1,3185
CRY,TICKLE,1,2204
STEPS,TIDE,1,1563
SUPER,TINY,1,1566
ISSUE,TOPIC,1,1483
VERDICT,TOWER,1,1042
REMORSE,TRAGEDY,1,1749
PLANE,TRANSPORTATION,1,2352
HEDGE,TREES,1,1044
PASS,TRICYCLE,1,3212
CHIPMUNK,TUG,1,1058
ELK,UNICORN,1,1571
ELIMINATION,UNUSED,1,1718
APATHETIC,UPSET,1,1906
INTERSTATE,VEER,1,2424
SHIRT,VEST,1,1873
ALUMINUM,VICTIM,1,1577
MAFIA,VIOLENCE,1,1703
BACTERIA,VIRUS,1,1481
REPUBLICAN,CONVENT,1,2647
MARROW,VOICE,1,1780
OFTEN,VOLCANO,1,1898
GRATE,VOYAGE,1,2093
ABDUCT,WAGE,1,1807
SLEEVE,WARDROBE,1,1867
CONCENTRATE,WART,1,3431
RAPID,WATERFALL,1,2497
BUCKLE,WEAR,1,1484
WELCOME,WEEK,1,1444
CEREMONY,EVERYDAY,1,2366
CRACKLE,WHISPER,1,1557
HAWK,WINGS,1,1277
HONEY,WOODS,1,1049
YEARLY,WRITER,1,2083
ABSURD,OUTRAGEOUS,1,1578
ADJECTIVE,REVIEW,1,2659
ADORE,LUST,1,2956
AGAIN,ENGAGE,1,1798
ALGEBRA,FORESIGHT,1,2363
ALTER,MAGNET,1,1732
AMBULANCE,FUSS,1,2086
ANCHOR,RELEASE,1,1914
ANSWER,PRECISE,1,2818
APARTMENT,MANSION,1,1429
APPEARANCE,NASTY,1,2199
APPENDAGE,INSTANT,1,1722
APPLIANCE,TEAPOT,1,1789
ARCHITECTUR,CREATIVE,1,1643
ARMY,COOKING,1,2915
ASHTRAY,SMOKING,1,1487
ASLEEP,DETERGENT,1,1577
ATTENDANCE,SMALL,1,1386
AUDIENCE,PERFORMANCE,1,1835
AWFUL,PRESENCE,1,2412
FLUNK,TEST,1,1968
BASSINET,DOCUMENT,1,2339
BEACH,DEODORANT,1,1843
BEDROOM,MATTRESS,1,1610
BELONG,SIBLING,1,1812
CONFERENCE,SEAFOOD,0,995
BOG,ARENA,1,3165
BROOM,SLIMY,1,1904
BULLET,CERAMICS,1,2326
BUNCH,BUGGY,1,2119
BURDEN,COMPLICATED,1,1448
BUTLER,CAREER,1,2757
CHECKING,HIGHWAY,1,2270
CHILI,RAW,1,1586
CIRCLE,CONE,1,1863
TOOL,BUILDER,1,1862
COMFORT,TRANQUIL,1,1873
COMPASS,BIT,1,2348
COMPOUND,KID,1,2138
CONTENT,PROFESSION,1,2776
COVERED,SHIP,1,1872
CROCHET,BETTER,1,2376
CUBE,RECTANGLE,1,1408
CUSS,AGENT,1,1708
CYLINDER,FORCE,1,2297
DART,SLOW,1,1653
DASH,REST,1,2490
DECEPTION,BETRAY,1,1598
DECOMPOSE,DISSOLVE,1,1605
DEPRESSED,CLOWN,1,1895
DETECTIVE,TREASON,1,1682
DIGESTION,POPULAR,1,1871
DIRECTION,REFRAIN,1,3621
DISCUSSION,LIPS,1,1770
DISPLAY,CREATE,1,2776
DOWNSTREAM,SNORKEL,1,1772
DUE,LOTTERY,1,1911
DUNK,BRA,1,2388
DWARVES,HUGE,1,1625
EARNESTNESS,CELL,1,2152
EARRING,BRACELET,1,1364
EQUAL,ODD,1,3125
ERECT,SCALPEL,1,2123
EXHAUSTED,SCHEME,1,1306
EXPRESS,TRUTHFUL,1,1588
FACTOR,FIGURE,1,1628
FAITH,CHORUS,1,1926
FANCY,FRIENDLY,1,2291
FARMER,TULIP,1,1851
FAT,HEAVY,1,1149
FAULT,FELT,1,2345
FEED,FAMINE,1,1883
FIN,ZUCCHINI,1,1947
FIREMAN,LID,1,2954
FIST,HOSTILITY,1,3299
FLASK,CHAMPAGNE,1,2614
FOLD,BOOKBAG,1,2367
FOOLISH,STRIVE,1,2286
FORM,MESSAGE,1,1696
FRIENDLINES,FACE,1,1564
FRIGID,SPEAKER,1,1918
FRISK,THIEF,1,1745
GALAXY,SPACE,1,1402
GAMBLE,LOAF,1,1742
GHOUL,COMPASSION,1,2344
CONVENT,REPUBLICAN,1,1858
GOODS,PLAZA,1,1376
