prime_word,target_word,TargetAccuracy,RTRecogniseTarget
CORK,SIDEWALK,1,1639
MASK,PUSH,1,1285
NUCLEAR,SLAY,1,1036
NEW,SLEEPY,1,1589
SURF,SNEAKER,1,1603
BAY,SOAK,1,1038
KIDS,SON,1,1286
SNACK,SPIN,1,1428
BOXING,SPLINTER,1,2127
FINAL,SPONGE,1,1433
SWEET,SPREE,1,1596
BEGIN,START,1,1145
ARGUE,STINGY,1,1699
HEADBAND,STOCKING,1,1849
OCEAN,STREAM,1,1329
SEA,SURVEY,1,1367
HINGE,TERROR,1,1588
TYLENOL,THERAPY,1,1377
WARMTH,THERMOMETER,1,2288
NEWS,THINK,1,1408
UNION,THRIFT,1,1952
CRY,TICKLE,1,1329
STEPS,TIDE,1,1591
SUPER,TINY,1,1963
ISSUE,TOPIC,1,1589
VERDICT,TOWER,1,1470
REMORSE,TRAGEDY,1,1334
PLANE,TRANSPORTATION,1,2469
HEDGE,TREES,1,1344
PASS,TRICYCLE,1,1627
CHIPMUNK,TUG,0,1296
ELK,UNICORN,1,1360
ELIMINATION,UNUSED,1,2720
APATHETIC,UPSET,1,1452
INTERSTATE,VEER,1,1702
SHIRT,VEST,1,1349
ALUMINUM,VICTIM,1,1878
MAFIA,VIOLENCE,1,1245
BACTERIA,VIRUS,1,1206
REPUBLICAN,CONVENT,1,1674
MARROW,VOICE,1,1580
OFTEN,VOLCANO,1,1689
GRATE,VOYAGE,1,1746
ABDUCT,WAGE,1,1779
SLEEVE,WARDROBE,1,1461
CONCENTRATE,WART,1,1921
RAPID,WATERFALL,1,1576
BUCKLE,WEAR,1,2248
WELCOME,WEEK,1,1468
CEREMONY,EVERYDAY,1,1591
CRACKLE,WHISPER,1,1346
HAWK,WINGS,1,1938
HONEY,WOODS,1,2124
YEARLY,WRITER,1,2102
ABSURD,OUTRAGEOUS,1,3671
ADJECTIVE,REVIEW,1,2892
ADORE,LUST,1,1582
AGAIN,ENGAGE,1,2586
ALGEBRA,FORESIGHT,1,4225
ALTER,MAGNET,1,2821
AMBULANCE,FUSS,1,2257
ANCHOR,RELEASE,1,2752
ANSWER,PRECISE,1,4473
APARTMENT,MANSION,1,2616
APPEARANCE,NASTY,1,2204
APPENDAGE,INSTANT,1,3479
APPLIANCE,TEAPOT,1,2460
ARCHITECTUR,CREATIVE,1,2652
ARMY,COOKING,0,2144
ASHTRAY,SMOKING,1,1224
ASLEEP,DETERGENT,1,3858
ATTENDANCE,SMALL,1,2321
AUDIENCE,PERFORMANCE,1,3162
AWFUL,PRESENCE,1,3965
FLUNK,TEST,1,2199
BASSINET,DOCUMENT,1,3403
BEACH,DEODORANT,1,3115
BEDROOM,MATTRESS,1,3413
BELONG,SIBLING,1,2181
CONFERENCE,SEAFOOD,1,1687
BOG,ARENA,1,2072
BROOM,SLIMY,1,3342
BULLET,CERAMICS,1,6312
BUNCH,BUGGY,1,2829
BURDEN,COMPLICATED,1,2844
BUTLER,CAREER,1,3788
CHECKING,HIGHWAY,1,1915
CHILI,RAW,1,1819
CIRCLE,CONE,1,2748
TOOL,BUILDER,1,5181
COMFORT,TRANQUIL,1,3338
COMPASS,BIT,1,2759
COMPOUND,KID,1,1208
CONTENT,PROFESSION,1,3622
COVERED,SHIP,1,1681
CROCHET,BETTER,1,2272
CUBE,RECTANGLE,1,3731
CUSS,AGENT,1,3146
CYLINDER,FORCE,1,1776
DART,SLOW,1,1364
DASH,REST,1,2743
DECEPTION,BETRAY,1,4680
DECOMPOSE,DISSOLVE,1,4488
DEPRESSED,CLOWN,1,1374
DETECTIVE,TREASON,1,1904
DIGESTION,POPULAR,1,2906
DIRECTION,REFRAIN,1,3272
DISCUSSION,LIPS,1,2276
DISPLAY,CREATE,1,2778
DOWNSTREAM,SNORKEL,1,2874
DUE,LOTTERY,1,2762
DUNK,BRA,1,2088
DWARVES,HUGE,1,3207
EARNESTNESS,CELL,1,1798
EARRING,BRACELET,1,2651
EQUAL,ODD,1,1732
ERECT,SCALPEL,1,2784
EXHAUSTED,SCHEME,1,1877
EXPRESS,TRUTHFUL,1,2882
FACTOR,FIGURE,1,3437
FAITH,CHORUS,1,3171
